user_id,signup_date,city,device_type
1,2023-04-13,Mashhad,Desktop
2,2024-03-11,Isfahan,Desktop
3,2023-09-28,Shiraz,Desktop
4,2023-04-17,Tabriz,Mobile
5,2023-03-13,Mashhad,Tablet
6,2024-12-01,Isfahan,Mobile
7,2023-01-21,Shiraz,Mobile
8,2024-09-06,Shiraz,Desktop
9,2023-05-02,Tehran,Mobile
10,2024-04-11,Tehran,Desktop
11,2023-08-03,Mashhad,Mobile
12,2023-11-27,Tehran,Desktop
13,2024-04-03,Mashhad,Desktop
14,2023-03-29,Tabriz,Mobile
15,2024-01-08,Mashhad,Mobile
16,2023-04-10,Tehran,Tablet
17,2024-10-25,Tabriz,Tablet
18,2023-05-11,Tehran,Tablet
19,2024-10-23,Mashhad,Mobile
20,2023-11-05,Isfahan,Mobile
21,2023-12-10,Shiraz,Desktop
22,2024-05-06,Tehran,Tablet
23,2024-02-18,Mashhad,Desktop
24,2024-01-21,Tabriz,Desktop
25,2023-07-11,Tehran,Desktop
26,2023-10-04,Tehran,Desktop
27,2023-06-10,Shiraz,Tablet
28,2024-04-04,Mashhad,Desktop
29,2023-11-10,Isfahan,Mobile
30,2023-01-22,Tabriz,Mobile
31,2023-09-10,Mashhad,Mobile
32,2024-07-14,Tabriz,Tablet
33,2024-04-19,Tehran,Desktop
34,2023-02-28,Shiraz,Tablet
35,2024-05-25,Shiraz,Desktop
36,2024-11-12,Isfahan,Tablet
37,2024-04-20,Shiraz,Tablet
38,2024-11-30,Tehran,Desktop
39,2023-07-09,Isfahan,Tablet
40,2024-11-17,Mashhad,Desktop
41,2024-07-16,Shiraz,Mobile
42,2024-07-20,Isfahan,Mobile
43,2023-09-01,Tehran,Mobile
44,2024-05-19,Tabriz,Tablet
45,2023-05-11,Tabriz,Mobile
46,2024-04-29,Tehran,Desktop
47,2024-10-08,Tehran,Mobile
48,2023-01-21,Tabriz,Mobile
49,2023-06-16,Isfahan,Tablet
50,2023-10-01,Tabriz,Desktop
51,2024-01-23,Tehran,Tablet
52,2024-08-23,Shiraz,Tablet
53,2023-11-12,Mashhad,Desktop
54,2023-01-14,Shiraz,Tablet
55,2023-08-30,Shiraz,Desktop
56,2023-12-12,Tehran,Mobile
57,2024-07-18,Tabriz,Desktop
58,2023-12-06,Isfahan,Desktop
59,2023-04-02,Shiraz,Desktop
60,2024-01-02,Tabriz,Tablet
61,2024-03-30,Isfahan,Desktop
62,2024-03-03,Shiraz,Desktop
63,2024-05-23,Isfahan,Desktop
64,2023-02-04,Tabriz,Mobile
65,2023-07-25,Mashhad,Desktop
66,2023-03-22,Tabriz,Tablet
67,2024-07-15,Tehran,Desktop
68,2024-01-23,Isfahan,Desktop
69,2023-01-02,Mashhad,Mobile
70,2024-01-25,Isfahan,Desktop
71,2024-07-19,Isfahan,Tablet
72,2023-04-16,Shiraz,Desktop
73,2024-04-21,Tehran,Tablet
74,2024-12-03,Isfahan,Mobile
75,2024-02-06,Tabriz,Desktop
76,2024-12-30,Tabriz,Mobile
77,2024-07-09,Shiraz,Desktop
78,2023-06-11,Tehran,Tablet
79,2023-07-21,Tehran,Mobile
80,2023-09-27,Tabriz,Desktop
81,2023-09-28,Mashhad,Tablet
82,2024-03-31,Shiraz,Mobile
83,2024-04-06,Shiraz,Desktop
84,2024-12-27,Tabriz,Mobile
85,2023-09-09,Tabriz,Desktop
86,2024-12-02,Mashhad,Tablet
87,2023-10-23,Mashhad,Tablet
88,2024-12-25,Tehran,Mobile
89,2024-12-20,Shiraz,Mobile
90,2023-12-04,Shiraz,Desktop
91,2023-02-22,Tabriz,Tablet
92,2023-08-05,Tehran,Desktop
93,2023-07-07,Shiraz,Tablet
94,2024-01-15,Tehran,Mobile
95,2024-05-07,Tehran,Desktop
96,2023-02-10,Tabriz,Desktop
97,2023-06-06,Tehran,Tablet
98,2023-01-15,Mashhad,Tablet
99,2023-03-06,Mashhad,Tablet
100,2024-06-04,Isfahan,Mobile
101,2023-12-10,Tabriz,Desktop
